title,budget,revenue,genres,top_cast,director,producers,composers,vote_average,release_month,runtime,vote_count
Assassins,50000000.0,30303072.0,"['Action', 'Adventure', 'Crime', 'Thriller']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",Richard Donner,"['Richard Donner', 'Bruce A. Evans', 'Raynold Gideon', 'Andrew Lazar', 'Joel Silver', 'Jim Van Wyck']",[],6.0,10,132.0,394.0
Leaving Las Vegas,3600000.0,49800000.0,"['Drama', 'Romance']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",Mike Figgis,"['Lila Cazès', 'Annie Stewart']",['Mike Figgis'],7.1,10,112.0,365.0
Now and Then,12000000.0,27400000.0,"['Comedy', 'Drama', 'Family']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']",Lesli Linka Glatter,"['Demi Moore', 'Suzanne Todd']",['Cliff Eidelman'],6.6,10,100.0,91.0
The City of Lost Children,18000000.0,1738611.0,"['Fantasy', 'Science Fiction', 'Adventure']","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet']",Marc Caro,"['Félicie Dutertre', 'María Victoria Hebrero', 'José Luis Lopez', 'Arlette Mas', 'Claudie Ossard', 'François Rabes']",['Angelo Badalamenti'],7.6,5,108.0,308.0
Twelve Monkeys,29500000.0,168840000.0,"['Science Fiction', 'Thriller', 'Mystery']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",Terry Gilliam,['Charles Roven'],['Paul Buckmaster'],7.4,12,129.0,2470.0
Babe,30000000.0,254134910.0,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']",Chris Noonan,"['George Miller', 'Doug Mitchell', 'Bill Miller']",['Nigel Westlake'],6.0,7,89.0,756.0
Dead Man Walking,11000000.0,39363635.0,['Drama'],"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",Tim Robbins,"['Tim Robbins', 'Rudd Simmons', 'Jon Kilik']",['David Robbins'],7.3,12,122.0,350.0
Mortal Kombat,18000000.0,122195920.0,"['Action', 'Fantasy']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby']",Paul W.S. Anderson,"['Lawrence Kasanoff', 'Lauri Apelian', 'Alison Savitch']",['George S. Clinton'],5.4,8,101.0,452.0
To Die For,20000000.0,21284514.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",Gus Van Sant,"['Laura Ziskin', 'Leslie Morgan', 'Sandy Isaac']",['Danny Elfman'],6.7,5,106.0,177.0
How To Make An American Quilt,10000000.0,23574130.0,"['Drama', 'Romance']","['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn']",Jocelyn Moorhouse,"['Sarah Pillsbury', 'Midge Sanford']",['Thomas Newman'],6.5,10,116.0,38.0
Se7en,33000000.0,327311859.0,"['Crime', 'Mystery', 'Thriller']","['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow']",David Fincher,"['Arnold Kopelson', 'Phyllis Carlyle']",['Howard Shore'],8.1,9,127.0,5915.0
Pocahontas,55000000.0,346079773.0,"['Adventure', 'Animation', 'Drama', 'Family']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']",Eric Goldberg,['James Pentecost'],['Alan Menken'],6.7,6,81.0,1509.0
The Usual Suspects,6000000.0,23341568.0,"['Drama', 'Crime', 'Thriller']","['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri']",Bryan Singer,"['Bryan Singer', 'Michael McDonnell']",[],8.1,7,106.0,3334.0
Mighty Aphrodite,15000000.0,6700000.0,"['Comedy', 'Romance']","['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']",Woody Allen,['Robert Greenhut'],['Dick Hyman'],6.7,9,95.0,145.0
Friday,3500000.0,28215918.0,['Comedy'],"['Ice Cube', 'Chris Tucker', 'Nia Long']",F. Gary Gray,[],[],7.0,4,91.0,513.0
From Dusk Till Dawn,19000000.0,25836616.0,"['Horror', 'Action', 'Thriller', 'Crime']","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']",Robert Rodriguez,"['Gianni Nunnari', 'Meir Teper']",['Graeme Revell'],6.9,1,108.0,1644.0
Fair Game,50000000.0,11534477.0,"['Action', 'Thriller', 'Romance']","['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']",Andrew Sipes,['Joel Silver'],['Mark Mancina'],4.1,11,91.0,54.0
Big Bully,15000000.0,2042530.0,"['Comedy', 'Family']","['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']",Steve Miner,[],[],3.9,1,90.0,16.0
Screamers,20000000.0,5781885.0,"['Horror', 'Science Fiction']","['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']",Christian Duguay,"['Franco Battista', 'Tom Berry']",[],6.1,9,108.0,154.0
Things to Do in Denver When You're Dead,8000000.0,529766.0,"['Drama', 'Crime']","['Andy García', 'Christopher Lloyd', 'William Forsythe']",Gary Fleder,['Cary Woods'],['Michael Convertino'],6.7,12,116.0,87.0
White Squall,38000000.0,10300000.0,"['Action', 'Drama']","['Jeff Bridges', 'Caroline Goodall', 'John Savage']",Ridley Scott,"['Mimi Polk Gitlin', 'Rocky Lang']",['Jeff Rona'],6.3,2,129.0,86.0
Nick of Time,8169363.0,8175346.0,"['Crime', 'Drama', 'Thriller']","['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']",John Badham,['John Badham'],['Arthur B. Rubinstein'],6.1,11,90.0,190.0
Mary Reilly,47000000.0,12379402.0,"['Drama', 'Horror', 'Thriller', 'Romance']","['Julia Roberts', 'John Malkovich', 'George Cole']",Stephen Frears,"['Norma Heyman', 'Ned Tanen', 'Nancy Graham Tanen']",['George Fenton'],5.7,2,104.0,77.0
Vampire in Brooklyn,14000000.0,19800000.0,"['Comedy', 'Horror', 'Romance']","['Eddie Murphy', 'Angela Bassett', 'Allen Payne']",Wes Craven,"['Mark Lipsky', 'Eddie Murphy']",[],4.5,10,100.0,113.0
Broken Arrow,50000000.0,150270147.0,"['Action', 'Adventure', 'Drama', 'Thriller']","['John Travolta', 'Christian Slater', 'Samantha Mathis']",John Woo,"['Bill Badalato', 'Terence Chang', 'Mark Gordon', 'Allison Lyon Segan']",['Hans Zimmer'],5.7,2,108.0,459.0
Bottle Rocket,7000000.0,560069.0,"['Comedy', 'Crime', 'Drama']","['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos']",Wes Anderson,"['Cynthia Hargrave', 'L.M. Kit Carson', 'Michael Lang', 'Polly Platt', 'Andrew Wilson', 'Ray Zimmerman']",['Mark Mothersbaugh'],6.8,2,91.0,285.0
Happy Gilmore,12000000.0,41205099.0,['Comedy'],"['Adam Sandler', 'Ben Stiller', 'Christopher McDonald']",Dennis Dugan,['Robert Simonds'],['Mark Mothersbaugh'],6.5,2,92.0,767.0
The Bridges of Madison County,24000000.0,182016617.0,"['Drama', 'Romance']","['Meryl Streep', 'Clint Eastwood', 'Annie Corley']",Clint Eastwood,"['Clint Eastwood', 'Kathleen Kennedy', 'Michael Maurer', 'Tom Rooker']","['Lennie Niehaus', 'Clint Eastwood']",7.3,5,135.0,397.0
Braveheart,72000000.0,210000000.0,"['Action', 'Drama', 'History', 'War']","['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']",Mel Gibson,"['Mel Gibson', 'Bruce Davey', 'Alan Ladd, Jr.', 'Dean Lopata', 'Elisabeth Robinson']",['James Horner'],7.7,5,177.0,3404.0
Taxi Driver,1300000.0,28262574.0,"['Crime', 'Drama']","['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']",Martin Scorsese,"['Julia Phillips', 'Michael Phillips']",['Bernard Herrmann'],8.1,2,114.0,2632.0
Rumble in the Bronx,7500000.0,32392047.0,"['Crime', 'Action', 'Comedy', 'Thriller']","['Jackie Chan', 'Anita Mui', 'Françoise Yip']",Stanley Tong,['Barbie Tung'],[],6.5,1,91.0,245.0
Steal Big Steal Little,25000000.0,6278139.0,"['Comedy', 'Drama']","['Andy García', 'Alan Arkin', 'Rachel Ticotin']",Andrew Davis,[],[],5.1,9,113.0,7.0
Boomerang,40000000.0,70100000.0,"['Comedy', 'Romance']","['Eddie Murphy', 'Robin Givens', 'Halle Berry']",Reginald Hudlin,['Brian Grazer'],['Marcus Miller'],5.4,6,117.0,139.0
Flirting with Disaster,7000000.0,14702438.0,"['Comedy', 'Romance']","['Ben Stiller', 'Patricia Arquette', 'Téa Leoni']",David O. Russell,['Dean Silvers'],['Stephen Endelman'],6.3,3,92.0,66.0
Jade,50000000.0,9851610.0,"['Action', 'Thriller', 'Mystery', 'Romance']","['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']",William Friedkin,['Robert Evans'],['James Horner'],5.1,10,95.0,45.0
The Birdcage,31000000.0,185260553.0,['Comedy'],"['Robin Williams', 'Gene Hackman', 'Nathan Lane']",Mike Nichols,['Mike Nichols'],[],6.7,3,117.0,303.0
Bad Boys,19000000.0,141407024.0,"['Action', 'Comedy', 'Crime', 'Thriller']","['Will Smith', 'Martin Lawrence', 'Téa Leoni']",Michael Bay,"['Jerry Bruckheimer', 'Don Simpson']",['Mark Mancina'],6.5,4,118.0,1729.0
An Awfully Big Adventure,4000000.0,851545.0,"['Romance', 'Drama', 'Comedy']","['Alan Rickman', 'Hugh Grant', 'Georgina Cates']",Mike Newell,"['Hilary Dwyer', 'Philip Hinchcliffe']",[],6.0,7,113.0,11.0
Apollo 13,52000000.0,355237933.0,['Drama'],"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']",Ron Howard,['Brian Grazer'],['James Horner'],7.3,6,140.0,1637.0
Rob Roy,28000000.0,31596911.0,['Adventure'],"['Liam Neeson', 'Jessica Lange', 'John Hurt']",Michael Caton-Jones,"['Richard Jackson', 'Peter Broughan']",[],6.5,4,139.0,151.0
Batman Forever,100000000.0,336529144.0,"['Action', 'Crime', 'Fantasy']","['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']",Joel Schumacher,"['Tim Burton', 'Peter Macgregor-Scott']",['Elliot Goldenthal'],5.2,6,121.0,1529.0
Blue in the Face,2000000.0,1275000.0,['Comedy'],"['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']",Wayne Wang,"['Peter Newman', 'Diana Phillips', 'Hisami Kuroiwa', 'Francey Grace', 'Greg Johnson']",[],6.8,9,83.0,28.0
Canadian Bacon,11000000.0,178104.0,"['Action', 'Comedy']","['John Candy', 'Alan Alda', 'Rhea Perlman']",Michael Moore,[],"['Elmer Bernstein', 'Peter Bernstein']",5.9,6,91.0,57.0
Casper,50000000.0,287928194.0,"['Fantasy', 'Comedy', 'Family']","['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']",Brad Silberling,['Colin Wilson'],['James Horner'],6.0,5,100.0,1045.0
Clockers,25000000.0,13071518.0,"['Mystery', 'Crime', 'Drama']","['Harvey Keitel', 'John Turturro', 'Delroy Lindo']",Spike Lee,[],[],6.8,9,128.0,69.0
Congo,50000000.0,152022101.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']","['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']",Frank Marshall,"['Sam Mercer', 'Kathleen Kennedy']",['Jerry Goldsmith'],5.0,6,109.0,214.0
Crimson Tide,53000000.0,157387195.0,"['Action', 'Thriller', 'Drama']","['Denzel Washington', 'Gene Hackman', 'Matt Craven']",Tony Scott,"['Jerry Bruckheimer', 'Don Simpson']",['Hans Zimmer'],7.0,5,116.0,508.0
Desperado,7000000.0,25405445.0,"['Thriller', 'Action', 'Crime']","['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']",Robert Rodriguez,"['Robert Rodriguez', 'Bill Borden']",[],6.8,8,104.0,898.0
Devil in a Blue Dress,27000000.0,16140822.0,"['Drama', 'Mystery', 'Thriller']","['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']",Carl Franklin,"['Jesse Beaton', 'Gary Goetzman']",['Elmer Bernstein'],6.3,9,102.0,88.0
Die Hard: With a Vengeance,90000000.0,366101666.0,"['Action', 'Thriller']","['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']",John McTiernan,"['John McTiernan', 'Michael Tadross']",['Michael Kamen'],6.9,5,128.0,2094.0
First Knight,55000000.0,127600435.0,"['Action', 'Adventure', 'Drama', 'Romance']","['Sean Connery', 'Richard Gere', 'Julia Ormond']",Jerry Zucker,"['Hunt Lowry', 'Kathryn J. McDermott', 'Jerry Zucker']",['Jerry Goldsmith'],5.9,7,134.0,319.0
Hackers,20000000.0,7563728.0,"['Action', 'Crime', 'Thriller', 'Drama']","['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford']",Iain Softley,"['Ralph Winter', 'Michael Peyser']","['Simon Boswell', 'Guy Pratt']",6.2,9,107.0,406.0
Johnny Mnemonic,25000000.0,19075720.0,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']","['Keanu Reeves', 'Dina Meyer', 'Takeshi Kitano']",Robert Longo,['Don Carmody'],['Brad Fiedel'],5.5,5,97.0,380.0
Judge Dredd,90000000.0,113493481.0,['Science Fiction'],"['Sylvester Stallone', 'Diane Lane', 'Armand Assante']",Danny Cannon,"['Charles Lippincott', 'Beau Marks', 'Tony Munafo', 'Susan Nicoletti']",['Alan Silvestri'],5.4,6,96.0,643.0
Kids,1500000.0,7412216.0,"['Drama', 'Crime']","['Leo Fitzpatrick', 'Rosario Dawson', 'Chloë Sevigny']",Larry Clark,['Cary Woods'],"['Lou Barlow', 'John Davis']",6.8,7,91.0,280.0
Living in Oblivion,500000.0,1148752.0,"['Drama', 'Comedy']","['Steve Buscemi', 'Catherine Keener', 'Dermot Mulroney']",Tom DiCillo,['Hilary Gilford'],[],7.2,1,89.0,64.0
Mallrats,6000000.0,2122561.0,"['Romance', 'Comedy']","['Jason Lee', 'Jeremy London', 'Shannen Doherty']",Kevin Smith,"['Scott Mosier', 'Sean Daniel', 'James Jacks']",['Ira Newborn'],6.8,10,94.0,400.0
Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']","['Amy Jo Johnson', 'Jason David Frank', 'David Yost']",Bryan Spicer,"['Suzanne Todd', 'Haim Saban']",['Graeme Revell'],5.2,6,92.0,153.0
The Net,22000000.0,110627965.0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']","['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller']",Irwin Winkler,"['Irwin Winkler', 'Rob Cowan']",[],5.6,7,114.0,359.0
Party Girl,150000.0,472370.0,['Comedy'],"['Parker Posey', 'Liev Schreiber', 'Anthony DeSando']",Daisy von Scherler Mayer,"['Harry Birckmayer', 'Georgia Kacandes', 'Stephanie Koules']",[],5.8,6,94.0,14.0
The Scarlet Letter,50000000.0,10382407.0,"['Drama', 'History', 'Romance']","['Demi Moore', 'Gary Oldman', 'Robert Duvall']",Roland Joffé,"['Roland Joffé', 'Andrew G. Vajna']",['John Barry'],5.5,10,135.0,111.0
Showgirls,45000000.0,20350754.0,['Drama'],"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon']",Paul Verhoeven,"['Alan Marshall', 'Charles Evans']","['David A. Stewart', 'Rena Riffel']",4.9,9,128.0,261.0
Smoke,7000000.0,8349430.0,"['Comedy', 'Drama']","['Harvey Keitel', 'William Hurt', 'Giancarlo Esposito']",Paul Auster,"['Peter Newman', 'Hisami Kuroiwa', 'Kenzo Horikoshi', 'Greg Johnson']",['Rachel Portman'],7.2,6,112.0,115.0
Species,35000000.0,113374103.0,"['Science Fiction', 'Horror', 'Action']","['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen']",Roger Donaldson,"['Frank Mancuso Jr.', 'Dennis Feldman']",['Christopher Young'],5.5,7,108.0,457.0
Strange Days,42000000.0,7959291.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']","['Ralph Fiennes', 'Angela Bassett', 'Tom Sizemore']",Kathryn Bigelow,"['Steven-Charles Jaffe', 'James Cameron']",['Graeme Revell'],6.8,10,145.0,334.0
The Tie That Binds,14000000.0,5780000.0,['Thriller'],"['Daryl Hannah', 'Keith Carradine', 'Moira Kelly']",Wesley Strick,"['Susan Zachary', 'John Morrissey', 'Patrick Markey', 'David Madden']",['Graeme Revell'],4.6,9,99.0,9.0
Under Siege 2: Dark Territory,60000000.0,104324083.0,"['Action', 'Thriller']","['Steven Seagal', 'Eric Bogosian', 'Everett McGill']",Geoff Murphy,"['Arnon Milchan', 'Steve Perry']",['Basil Poledouris'],5.6,7,100.0,217.0
A Walk in the Clouds,20000000.0,50012507.0,"['Drama', 'Romance']","['Keanu Reeves', 'Aitana Sánchez-Gijón', 'Anthony Quinn']",Alfonso Aráu,"['Gil Netter', 'David Zucker', 'Jerry Zucker']",['Maurice Jarre'],6.5,8,103.0,168.0
Waterworld,175000000.0,264218220.0,"['Adventure', 'Action']","['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']",Kevin Reynolds,"['Kevin Costner', 'John Davis', 'Charles Gordon', 'Lawrence Gordon']",['James Newton Howard'],5.9,7,135.0,1017.0
Burnt by the Sun,2800000.0,2616503.0,['Drama'],"['Nikita Mikhalkov', 'Oleg Menshikov', 'Ingeborga Dapkunaite']",Nikita Mikhalkov,"['Nikita Mikhalkov', 'Michel Seydoux']",['Eduard Artemev'],6.7,5,135.0,35.0
Before Sunrise,2500000.0,5535405.0,"['Drama', 'Romance']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",Richard Linklater,['Anne Walker-McBay'],['Fred Frith'],7.7,1,105.0,984.0
Billy Madison,10000000.0,26488734.0,['Comedy'],"['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson']",Tamra Davis,['Robert Simonds'],['Randy Edelman'],6.2,2,89.0,464.0
Boys on the Side,21000000.0,23450000.0,"['Comedy', 'Drama']","['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore']",Herbert Ross,"['Arnon Milchan', 'Steven Reuther', 'Herbert Ross']",['David Newman'],6.3,2,115.0,48.0
Clerks,27000.0,3151130.0,['Comedy'],"[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes']",Kevin Smith,"['Kevin Smith', 'Scott Mosier']",[],7.4,9,92.0,769.0
Don Juan DeMarco,25000000.0,22200000.0,"['Romance', 'Drama', 'Comedy']","['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']",Jeremy Leven,"['Francis Ford Coppola', 'Fred Fuchs', 'Patrick J. Palmer']","['Michael Kamen', 'Robert John Lange']",6.3,10,97.0,184.0
Disclosure,55000000.0,214015089.0,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']","['Michael Douglas', 'Demi Moore', 'Donald Sutherland']",Barry Levinson,['Barry Levinson'],[],5.9,12,123.0,217.0
Dumb and Dumber,16000000.0,247275374.0,['Comedy'],"['Jim Carrey', 'Jeff Daniels', 'Lauren Holly']",Bobby Farrelly,"['Steven Stabler', 'Brad Krevoy', 'Charles B. Wessler']",['Todd Rundgren'],6.5,12,107.0,1894.0
Ed Wood,18000000.0,5887457.0,"['Comedy', 'Drama', 'History']","['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']",Tim Burton,"['Tim Burton', 'Denise Di Novi', 'Michael Flynn']",['Howard Shore'],7.3,9,127.0,639.0
Hideaway,15000000.0,12201255.0,"['Drama', 'Thriller']","['Jeff Goldblum', 'Christine Lahti', 'Alicia Silverstone']",Brett Leonard,['Gimel Everett'],[],5.0,3,103.0,24.0
Hoop Dreams,700000.0,7830611.0,['Documentary'],"['William Gates', 'Arthur Agee', 'Steve James']",Steve James,[],[],7.7,9,171.0,91.0
Heavenly Creatures,5000000.0,3049135.0,"['Drama', 'Fantasy']","['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse']",Peter Jackson,['Jim Booth'],['Peter Dasent'],6.9,9,99.0,299.0
Houseguest,10500000.0,26325256.0,"['Comedy', 'Family']","['Sinbad', 'Phil Hartman', 'Jeffrey Jones']",Randall Miller,[],[],6.0,1,113.0,17.0
Interview with the Vampire,60000000.0,223664608.0,"['Horror', 'Romance']","['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst']",Neil Jordan,"['David Geffen', 'Stephen Woolley', 'Redmond Morris']",['Elliot Goldenthal'],7.2,11,123.0,1558.0
Jefferson in Paris,14000000.0,2474000.0,"['Drama', 'Romance']","['Nick Nolte', 'Greta Scacchi', 'Thandie Newton']",James Ivory,['Ismail Merchant'],[],5.2,3,139.0,10.0
Junior,60000000.0,37000000.0,"['Comedy', 'Family', 'Romance']","['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson']",Ivan Reitman,['Ivan Reitman'],['James Newton Howard'],4.7,11,109.0,381.0
Star Wars,11000000.0,775398007.0,"['Adventure', 'Action', 'Science Fiction']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",George Lucas,"['Gary Kurtz', 'Rick McCallum']",['John Williams'],8.1,5,121.0,6778.0
Like Water for Chocolate,2000000.0,21665468.0,"['Drama', 'Romance']","['Marco Leonardi', 'Lumi Cavazos', 'Regina Torné']",Alfonso Aráu,['Alfonso Aráu'],[],6.6,4,105.0,70.0
Legends of the Fall,30000000.0,160638883.0,"['Adventure', 'Drama', 'Romance', 'War']","['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn']",Edward Zwick,"['Edward Zwick', 'Marshall Herskovitz', 'William D. Wittliff']",['James Horner'],7.2,12,133.0,636.0
Losing Isaiah,17000000.0,7603766.0,['Drama'],"['Jessica Lange', 'Halle Berry', 'David Strathairn']",Stephen Gyllenhaal,"['Hawk Koch', 'Naomi Foner Gyllenhaal', 'Sharon Owyang']",[],6.4,3,106.0,28.0
Mary Shelley's Frankenstein,45000000.0,112006296.0,"['Drama', 'Horror', 'Science Fiction', 'Romance']","['Robert De Niro', 'Kenneth Branagh', 'Tom Hulce']",Kenneth Branagh,"['Francis Ford Coppola', 'James V. Hart', 'John Veitch']",['Patrick Doyle'],6.1,11,123.0,272.0
Nell,31000000.0,106683817.0,"['Drama', 'Thriller']","['Jodie Foster', 'Liam Neeson', 'Natasha Richardson']",Michael Apted,"['Jodie Foster', 'Renée Missel', 'Graham Place']",['Mark Isham'],6.1,12,112.0,128.0
Natural Born Killers,34000000.0,50282766.0,"['Crime', 'Thriller', 'Drama']","['Woody Harrelson', 'Juliette Lewis', 'Robert Downey Jr.']",Oliver Stone,"['Jane Hamsher', 'Don Murphy', 'Clayton Townsend']","['Leonard Cohen', 'Trent Reznor', 'Brent Lewis']",6.9,8,119.0,927.0
Outbreak,50000000.0,189859560.0,"['Action', 'Drama', 'Science Fiction', 'Thriller']","['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']",Wolfgang Petersen,"['Arnold Kopelson', 'Wolfgang Petersen']",['James Newton Howard'],6.4,3,127.0,522.0
Leon: The Professional,16000000.0,45284974.0,"['Thriller', 'Crime', 'Drama']","['Jean Reno', 'Natalie Portman', 'Gary Oldman']",Luc Besson,['Patrice Ledoux'],['Eric Serra'],8.2,9,110.0,4293.0
The Perez Family,11000000.0,2832826.0,"['Comedy', 'Drama', 'Romance']","['Marisa Tomei', 'Alfred Molina', 'Anjelica Huston']",Mira Nair,"['Lydia Dean Pilcher', 'Michael Nozik']",[],6.6,5,113.0,9.0
Pulp Fiction,8000000.0,213928762.0,"['Thriller', 'Crime']","['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",Quentin Tarantino,['Lawrence Bender'],[],8.3,9,154.0,8670.0
Pushing Hands,400000.0,152322.0,"['Comedy', 'Drama']","['Sihung Lung', 'Wang Lai', 'Bo Z. Wang']",Ang Lee,[],[],6.1,2,105.0,9.0
The Quick and the Dead,32000000.0,18552460.0,"['Action', 'Western']","['Sharon Stone', 'Gene Hackman', 'Russell Crowe']",Sam Raimi,"['Patrick Markey', 'Allen Shapiro', 'Joshua Donen']",[],6.2,2,107.0,431.0
